"Normals:0","Normals:1","Normals:2","TextureCoordinates:0","TextureCoordinates:1","Points:0","Points:1","Points:2"
-1,0,0,0.2,0.88,0.01,0.36004,0.0106
-1,0,0,0.4,0.88,0.01,0.36004,0.0202
-1,0,0,0.6,0.88,0.01,0.36004,0.0298
-1,0,0,0.8,0.88,0.01,0.36004,0.0394
-1,0,0,1,0.88,0.01,0.36004,0.049
-1,0,0,0,0.9,0.01,0.3682,0.001
-1,0,0,0.2,0.9,0.01,0.3682,0.0106
-1,0,0,0.4,0.9,0.01,0.3682,0.0202
-1,0,0,0.6,0.9,0.01,0.3682,0.0298
-1,0,0,0.8,0.9,0.01,0.3682,0.0394
-1,0,0,1,0.9,0.01,0.3682,0.049
-1,0,0,0,0.92,0.01,0.37636,0.001
-1,0,0,0.2,0.92,0.01,0.37636,0.0106
-1,0,0,0.4,0.92,0.01,0.37636,0.0202
-1,0,0,0.6,0.92,0.01,0.37636,0.0298
-1,0,0,0.8,0.92,0.01,0.37636,0.0394
-1,0,0,1,0.92,0.01,0.37636,0.049
-1,0,0,0,0.94,0.01,0.38452,0.001
-1,0,0,0.2,0.94,0.01,0.38452,0.0106
-1,0,0,0.4,0.94,0.01,0.38452,0.0202
-1,0,0,0.6,0.94,0.01,0.38452,0.0298
-1,0,0,0.8,0.94,0.01,0.38452,0.0394
-1,0,0,1,0.94,0.01,0.38452,0.049
-1,0,0,0,0.96,0.01,0.39268,0.001
-1,0,0,0.2,0.96,0.01,0.39268,0.0106
-1,0,0,0.4,0.96,0.01,0.39268,0.0202
-1,0,0,0.6,0.96,0.01,0.39268,0.0298
-1,0,0,0.8,0.96,0.01,0.39268,0.0394
-1,0,0,1,0.96,0.01,0.39268,0.049
-1,0,0,0,0.98,0.01,0.40084,0.001
-1,0,0,0.2,0.98,0.01,0.40084,0.0106
-1,0,0,0.4,0.98,0.01,0.40084,0.0202
-1,0,0,0.6,0.98,0.01,0.40084,0.0298
-1,0,0,0.8,0.98,0.01,0.40084,0.0394
-1,0,0,1,0.98,0.01,0.40084,0.049
-1,0,0,0,1,0.01,0.409,0.001
-1,0,0,0.2,1,0.01,0.409,0.0106
-1,0,0,0.4,1,0.01,0.409,0.0202
-1,0,0,0.6,1,0.01,0.409,0.0298
-1,0,0,0.8,1,0.01,0.409,0.0394
-1,0,0,1,1,0.01,0.409,0.049
